
2025/07/05 (18:29:29) | WARNING: Failed to join _runner thread on exit!

2025/07/08 (08:00:28) | ===> btop++ v.1.4.0
2025/07/08 (08:00:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/08 (08:01:01) | WARNING: Failed to join _runner thread on exit!

2025/07/08 (08:01:03) | ===> btop++ v.1.4.0
2025/07/08 (08:01:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/08 (08:01:53) | WARNING: Failed to join _runner thread on exit!

2025/07/09 (11:37:26) | ===> btop++ v.1.4.0
2025/07/09 (11:37:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/09 (11:37:30) | WARNING: Failed to join _runner thread on exit!

2025/07/11 (13:57:54) | ===> btop++ v.1.4.0
2025/07/11 (13:57:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (09:30:16) | ===> btop++ v.1.4.0
2025/07/12 (09:30:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (09:30:51) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (16:24:55) | ===> btop++ v.1.4.0
2025/07/12 (16:24:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (16:25:01) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (18:01:17) | ===> btop++ v.1.4.0
2025/07/12 (18:01:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (18:01:27) | WARNING: Failed to join _runner thread on exit!

2025/07/13 (17:39:33) | ===> btop++ v.1.4.0
2025/07/13 (17:39:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/13 (17:39:50) | WARNING: Failed to join _runner thread on exit!

2025/07/14 (19:33:13) | ===> btop++ v.1.4.0
2025/07/14 (19:33:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/14 (19:33:27) | WARNING: Failed to join _runner thread on exit!

2025/07/15 (17:08:07) | ===> btop++ v.1.4.0
2025/07/15 (17:08:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/16 (08:29:45) | ===> btop++ v.1.4.0
2025/07/16 (08:29:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/16 (08:30:24) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (08:32:21) | ===> btop++ v.1.4.0
2025/07/17 (08:32:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (08:32:25) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (14:13:40) | ===> btop++ v.1.4.0
2025/07/17 (14:13:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (14:15:17) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (15:36:05) | ===> btop++ v.1.4.0
2025/07/17 (15:36:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (15:36:27) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (15:37:47) | ===> btop++ v.1.4.0
2025/07/17 (15:37:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/17 (15:38:27) | WARNING: Failed to join _runner thread on exit!

2025/07/17 (15:40:09) | ===> btop++ v.1.4.0
2025/07/17 (15:40:09) | WARNING: Intel GPU: Failed to initialize PMU
